[[ 3.39947595  0.21458369]
 [ 0.81468598  2.87781204]
 [ 1.68620389  3.12034949]
 [ 1.44853242  2.71054297]
 [ 1.32800824  2.73080165]
 [ 1.49245484  2.57737619]
 [ 0.85838959  2.66738149]
 [ 1.27881642  2.66430825]
 [ 1.21009693  3.40880649]
 [ 1.45033717  2.33998504]
 [ 1.36375085  2.1104552 ]
 [ 1.33591582  2.91390455]
 [ 1.1405935   2.48700919]
 [ 0.8201346   2.90875724]
 [ 0.91340587  3.0430881 ]
 [ 0.8930124   2.68986319]
 [ 1.29029748  2.79538549]
 [ 0.99485173  2.89306866]
 [ 1.13963805  2.79354424]
 [ 1.07711803  2.79036474]
 [ 1.11495458  2.91777026]
 [ 1.12490973  3.07889328]
 [ 0.64656167  2.43637727]
 [ 0.85787154  2.79825946]
 [ 1.05857855  2.48953844]
 [ 0.95963906  2.99186484]
 [ 0.39335255  2.99733212]
 [ 1.28511516  2.90975855]
 [ 0.58023316  2.70468424]
 [ 0.80704955  2.72649898]
 [-0.14995344  3.3270106 ]
 [ 0.65309677  2.8395423 ]
 [ 1.05236101  2.96875788]
 [ 0.61009268  2.87511134]
 [ 0.89900402  3.07296551]
 [ 0.66260617  3.15071243]
 [ 0.93724237  2.77046142]
 [ 0.38157679  3.01941135]
 [ 0.83864653  2.78740529]
 [ 0.5157566   3.09039178]
 [ 0.67514963  3.3411601 ]
 [ 0.76416758  3.65265662]
 [ 0.74981579  2.67235552]
 [ 0.51318695  2.91621878]
 [ 0.0498448   3.15142012]
 [ 0.55362355  2.94492458]
 [ 0.35081508  2.62331223]
 [ 0.43305506  2.69571762]
 [ 0.48279513  2.68954817]
 [ 0.0361809   2.99279521]
 [ 0.50037494  3.13019624]
 [ 0.44044586  3.4096476 ]
 [ 0.21404795  3.30541033]
 [ 0.0883265   2.77034617]
 [ 0.24459771  2.90317796]
 [ 0.80698148  2.78484294]
 [-0.05084467  3.20827307]
 [ 0.30390823  2.51656513]
 [ 0.39619468  3.26843657]
 [ 0.15784302  3.45557086]
 [ 0.71822062  2.78166451]
 [ 0.49520355  2.36137736]
 [ 0.268103    2.76479159]
 [ 0.48851569  2.73108994]
 [ 0.4876748   2.75376888]
 [ 0.03197467  2.76908064]
 [ 0.20775142  2.58472201]
 [ 0.31676089  2.79543782]
 [ 0.77641951  2.92425552]
 [-0.14409968  3.14303274]
 [-0.18343945  3.17722847]
 [-0.08741736  3.14593719]
 [ 0.04522499  3.16360157]
 [-0.19549307  2.80227994]
 [ 0.42233247  3.41462912]
 [ 0.24806555  2.82800006]
 [ 0.33529835  2.9009788 ]
 [-0.11000255  3.3168027 ]
 [-0.11830575  2.98713177]
 [-0.20056861  2.79847194]
 [-0.33411939  2.89135955]
 [-0.09602412  2.90539621]
 [-0.51412201  2.95096557]
 [-0.24685174  3.01568208]
 [-0.06255239  3.08166823]
 [-0.46526759  2.74359912]
 [-0.38360025  2.76522878]
 [-0.73118633  2.8485516 ]
 [-0.70282161  2.60845916]
 [-0.6643638   2.66979243]
 [-0.65074009  2.71054405]
 [-0.40793196  3.22620661]
 [-0.75282858  3.29753295]
 [-0.21001625  3.13746724]
 [-0.46218365  3.0326853 ]
 [-0.23596217  3.16079406]
 [-0.52552972  3.19110479]
 [-0.08136388  3.25839357]
 [-0.24974325  2.7828864 ]
 [-0.47814754  3.0055324 ]
 [-0.63695726  3.02391199]
 [-0.46618452  2.94015005]
 [-0.58037704  2.94123851]
 [-0.54389361  2.83843486]
 [-0.69979341  2.92960663]
 [-0.92818497  2.38399122]
 [-0.67452148  2.58365788]
 [-0.1346168   3.15055212]
 [-0.27205659  3.14932895]
 [-0.76123881  3.07565145]
 [-0.52735356  2.507776  ]
 [-0.46630023  2.64788645]
 [-1.07356416  3.13465936]
 [-0.9102384   2.6194105 ]
 [-0.40029976  2.37315631]
 [-1.00606021  3.23545702]
 [ 0.00833797  2.91258186]
 [-0.53732167  2.58909544]
 [-0.20701961  2.70597595]
 [-1.69246894  2.91061557]
 [-0.82296856  2.63714785]
 [-0.80655257  3.26072776]
 [-1.30657482  3.01127078]
 [-1.21523888  3.30128893]
 [-0.76661406  2.69578474]
 [-0.87300941  2.72690208]
 [-0.77906947  2.83028451]
 [-0.59892771  3.63020037]
 [-0.9064622   3.08691801]
 [-0.91382728  2.666721  ]
 [-0.8998671   3.10526874]
 [-0.80840369  2.85255912]
 [-1.12645464  3.3478632 ]
 [-0.81896394  3.20672482]
 [-1.31093144  3.21185343]
 [-1.57041785  2.92121558]
 [-1.14141091  2.81927809]
 [-1.29092924  3.04268848]
 [-1.02354629  2.81458964]
 [-0.58266694  3.06113229]
 [-1.16463923  2.73744584]
 [-1.83299776  2.54090988]
 [-1.39846762  2.48204487]
 [-1.30384435  3.26360344]
 [-1.13404394  2.63891212]
 [-1.6309701   2.98667188]
 [-1.39139402  3.25387311]
 [-1.29188629  3.11458965]
 [-1.21428631  2.69871189]
 [-1.33505528  2.85509825]
 [-1.39774172  2.188493  ]
 [-1.97183108  2.43467208]
 [-1.6684123   2.70383039]
 [-1.47881662  2.77990325]
 [-1.52300206  2.79145373]
 [-1.37123861  2.94483421]
 [-1.75917208  2.03404496]
 [-1.6917053   2.81347064]
 [-1.71928817  2.4416829 ]
 [-1.92474031  2.28350158]
 [-1.61241949  2.0420068 ]
 [-1.61560607  2.56156889]
 [-1.6458711   2.58364885]
 [-1.80149933  2.92068929]
 [-1.3806378   2.28874817]
 [-1.6571626   2.31656905]
 [-1.26844159  2.46963612]
 [-2.02602264  2.74892   ]
 [-1.49803537  2.42344711]
 [-1.85426506  2.34832091]
 [-1.73112912  2.14550566]
 [-1.18645405  2.43012257]
 [-1.08196699  2.30577495]
 [-1.82159935  2.34197185]
 [-1.50208707  2.7190326 ]
 [-1.69461526  2.74937929]
 [-1.45692657  2.69665536]
 [-1.94434346  2.04218704]
 [-2.32232421  1.93618135]
 [-1.94404634  1.97554155]
 [-1.89664201  2.79850278]
 [-1.92572348  1.77125649]
 [-1.64147247  2.25931508]
 [-2.05802025  2.23360175]
 [-2.32034016  2.3084122 ]
 [-1.71082394  1.98325631]
 [-1.78059359  2.4612188 ]
 [-2.13637408  2.56888275]
 [-2.32772278  2.38562217]
 [-2.03731968  2.2164473 ]
 [-1.89175397  2.29272716]
 [-2.61107375  1.82684504]
 [-2.36040781  2.13231358]
 [-1.81604492  2.50790967]
 [-1.86228523  2.22985638]
 [-2.36855339  2.51868374]
 [-2.05927805  1.77975081]
 [-2.2905444   2.50336671]
 [-1.68780845  1.8438837 ]
 [-1.49890178  2.38479272]
 [-1.97411288  1.74697989]
 [-1.51213667  2.06830954]
 [-2.39633868  1.94051942]
 [-2.2152634   1.75981619]
 [-2.01251364  2.00798992]
 [-2.7292231   1.76714307]
 [-2.56266732  1.77299388]
 [-2.39979697  2.05753901]
 [-2.33585548  1.93111567]
 [-2.48469852  2.1790578 ]
 [-2.35542219  2.55573794]
 [-2.55267971  1.93208791]
 [-1.9067031   1.58614122]
 [-2.59417358  1.58077404]
 [-2.35986255  1.81297098]
 [-2.26876524  2.22165745]
 [-2.69159216  1.75588571]
 [-2.236591    1.10328485]
 [-2.52601438  1.70511901]
 [-2.56111205  1.91208785]
 [-2.06189919  1.65031794]
 [-1.74371621  1.58600878]
 [-2.43183968  1.84680993]
 [-2.88233901  1.90377798]
 [-2.42958855  1.79802076]
 [-2.13558151  1.74943858]
 [-2.12555618  1.3189628 ]
 [-2.54463888  2.08125599]
 [-2.50338641  1.32296431]
 [-2.83658641  1.44637302]
 [-2.89401305  1.80647118]
 [-3.35520196  1.39567908]
 [-2.93816716  1.21428063]
 [-2.702026    1.23986982]
 [-2.39796937  1.35753866]
 [-2.71690669  1.82964285]
 [-2.47930709  1.60013523]
 [-2.57866477  1.20880081]
 [-2.49011831  2.16546451]
 [-2.66906061  1.21259367]
 [-3.05498759  0.92067455]
 [-2.71202721  1.31876735]
 [-2.30474429  1.44044101]
 [-2.42904437  1.63492499]
 [-2.27694589  1.33870371]
 [-2.35443511  1.55002458]
 [-2.97315174  1.09048479]
 [-2.53720452  1.28668899]
 [-3.3349585   1.44153215]
 [-2.60211093  1.40710162]
 [-2.23094543  1.21126499]
 [-3.15794435  1.50403766]
 [-2.65877279  1.47699018]
 [-2.5191686   1.32459927]
 [-2.88676008  1.2429713 ]
 [-2.77668753  1.1085695 ]
 [-2.6899779   1.19231829]
 [-2.73009526  0.88394713]
 [-2.83797851  0.84973712]
 [-3.07729802  1.58938485]
 [-3.07215451  1.30462732]
 [-3.27956454  1.11043445]
 [-2.46860543  1.35947108]
 [-3.01094109  1.34460304]
 [-2.90712988  0.79870528]
 [-3.16450598  0.46888984]
 [-2.66804532  1.28631549]
 [-2.31415187  0.9305423 ]
 [-2.92024778  0.85050373]
 [-2.73461107  1.04739662]
 [-3.28604217  1.12569964]
 [-2.66936167  1.04091183]
 [-2.91905267  0.37172183]
 [-2.82222681  0.89680626]
 [-2.99817174  0.93119974]
 [-2.93139455  0.91437742]
 [-2.90464741  0.73384931]
 [-3.20783217  0.48518539]
 [-2.77799005  0.82751529]
 [-2.76354099  0.95141514]
 [-2.92940837  1.37696701]
 [-3.04641361  0.8043641 ]
 [-3.0528685   0.65809658]
 [-3.21551217  0.95154664]
 [-3.06902281  0.9259059 ]
 [-2.59531679  0.70451215]
 [-3.0783992   0.78545694]
 [-2.75365946  0.86897127]
 [-3.32573834  1.10722591]
 [-3.19517527  0.22321171]
 [-2.75088986  0.515443  ]
 [-2.90649353  0.66489771]
 [-2.42692862  0.62662391]
 [-2.8057416   0.46146044]
 [-3.16161018  0.80330234]
 [-2.7771528   0.99871313]
 [-3.18802752  0.61888983]
 [-2.72845702 -0.01170927]
 [-3.34516767  0.61788644]
 [-2.89627224  0.25996531]
 [-2.6953234   0.16424952]
 [-3.40344134  0.43968883]
 [-2.93416798  0.67936904]
 [-2.90898109  0.62680363]
 [-3.26925903  0.61725524]
 [-3.29407206  0.64759642]
 [-3.04188215  0.31802163]
 [-3.10902818  0.26304236]
 [-3.08235642 -0.15553505]
 [-3.23687753  0.07648992]
 [-2.90992187  0.40306567]
 [-3.08387024  0.34164376]
 [-2.85760129  0.11476392]
 [-3.72431905  0.1992127 ]
 [-2.55897991  0.0078181 ]
 [-2.77415006 -0.06145221]
 [-3.19440559  0.76549808]
 [-3.01974995 -0.1694209 ]
 [-2.65501115  0.18768397]
 [-2.88140863 -0.49283683]
 [-3.10191841  0.07759074]
 [-3.0478693  -0.26652809]
 [-3.09948887  0.45109643]
 [-3.11706536  0.19273519]]
